Date,Calgary (CER) Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CER) Total Employment ('000 Persons),Calgary (CER) Total Employment month-over-month change ('000 Persons),Calgary (CER) Total Employment year-over-year change ('000 Persons),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
2024/09,0.07,0.07,0.07,1004.1,-2.9,20.7,38.80,627640146.47,198305484.00,,,,0.02
1992/02,0.11,0.10,0.11,404.7,,,,,,349,404,,0.02
1992/03,0.11,0.10,0.12,404.9,,,,,,540,593,,0.02
1992/04,0.11,0.10,0.12,407.3,,,,,,740,807,,0.02
1992/05,0.10,0.10,0.12,412.2,,,,,,703,778,,0.01
1992/06,0.09,0.09,0.11,420,,,,,,634,705,,0.01
1992/07,0.09,0.09,0.11,427.3,,,,,,479,539,,0.01
1992/08,0.09,0.09,0.11,432.8,,,,,,484,554,,0.01
1992/09,0.09,0.09,0.11,430,,,,,,466,604,,0.01
1992/10,0.09,0.09,0.11,425.5,,,,,,464,542,,0.01
1992/11,0.10,0.09,0.11,419.9,,,,,,526,621,,0.02
1992/12,0.10,0.09,0.11,416.6,,,,,,521,587,,0.01
1993/01,0.11,0.10,0.12,412.1,,,,,,262,312,,0.02
1993/02,0.10,0.10,0.12,411.7,,,,,,416,462,,0.02
1993/03,0.10,0.10,0.12,409.9,,,,,,436,480,,0.00
1993/04,0.10,0.10,0.12,412,,,,,,620,682,,0.01
1993/05,0.11,0.10,0.12,411.6,,,,,,498,559,,0.01
1993/06,0.11,0.10,0.12,417.2,,,,,,495,589,,0.01
1993/07,0.11,0.10,0.12,423.7,,,,,,615,719,,0.02
1993/08,0.11,0.10,0.11,429.4,,,,,,349,429,,0.02
1993/09,0.11,0.10,0.11,429,,,,,,465,535,,0.02
1993/10,0.10,0.09,0.11,428.2,,,,,,562,726,,0.02
1993/11,0.10,0.09,0.11,428.6,,,,,,480,558,,0.01
1993/12,0.09,0.09,0.11,431.9,,,,,,509,578,,0.02
1994/01,0.10,0.10,0.12,430.5,,,,,,356,417,,0.01
1994/02,0.10,0.10,0.12,427.3,,,,,,345,416,,0.01
1994/03,0.11,0.10,0.12,423.3,,,,,,358,398,,0.02
1994/04,0.10,0.10,0.12,421.2,,,,,,658,768,,0.02
1994/05,0.10,0.10,0.11,422.1,,,,,,563,641,,0.01
1994/06,0.10,0.09,0.11,425.7,,,,,,558,624,,0.01
1994/07,0.10,0.10,0.10,430.5,,,,,,646,764,,0.01
1994/08,0.10,0.09,0.10,433.9,,,,,,522,591,,0.01
1994/09,0.09,0.09,0.10,435.6,,,,,,520,605,,0.01
1994/10,0.09,0.08,0.10,439,,,,,,603,667,,0.02
1994/11,0.08,0.08,0.09,442.5,,,,,,450,525,,0.02
1994/12,0.08,0.08,0.09,444.5,,,,,,413,461,,0.02
1995/01,0.08,0.08,0.10,441.7,,,,,,322,363,,0.02
1995/02,0.08,0.08,0.10,438.5,,,,,,257,307,,0.02
1995/03,0.09,0.08,0.11,436.8,,,,,,243,283,,0.03
1995/04,0.09,0.08,0.10,439.2,,,,,,452,513,,0.03
1995/05,0.09,0.08,0.10,443,,,,,,378,426,,0.03
1995/06,0.08,0.08,0.10,450.6,,,,,,399,495,,0.03
1995/07,0.08,0.08,0.10,460.6,,,,,,590,670,,0.03
1995/08,0.08,0.08,0.10,467.7,,,,,,493,563,,0.02
1995/09,0.08,0.08,0.09,467.7,,,,,,451,523,,0.02
1995/10,0.08,0.07,0.09,465.1,,,,,,489,557,,0.02
1995/11,0.08,0.07,0.09,461.6,,,,,,442,492,,0.02
