Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point
BL269878,16345043,33 ROYAL CREST TC NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-06-10T10:05:25,2025-06-10T10:05:25,Licensed,-114.21958320657752,51.13842926264464,POINT (-114.21958320657752 51.13842926264464)
BL265906,16298200,2109 17 ST NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2024-02-24T10:11:40,2025-02-23T10:11:40,Licensed,-114.10231538815496,51.07082254715372,POINT (-114.10231538815496 51.07082254715372)
BL270296,16350886,423 HENDON DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-22T14:16:30,2024-06-21T14:16:30,Closed,,,
BL281423,16501397,722B 16 ST NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-07-26T16:23:53,2025-07-26T16:23:53,Licensed,-114.0974648274949,51.058434779061194,POINT (-114.0974648274949 51.058434779061194)
BL274962,16415564,4 CRESTRIDGE WY SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-09T16:02:03,2024-11-08T16:02:03,Expired,-114.26153948233794,51.08567789441879,POINT (-114.26153948233794 51.08567789441879)
BL257704,16183840,31 RED EMBERS PR NE,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-07-08T19:41:09,2024-07-07T19:41:09,Expired,-113.95702566621232,51.1673785386869,POINT (-113.95702566621232 51.1673785386869)
BL281313,16500019,#301 338 SETON CI SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-07-15T10:21:18,2025-07-15T10:21:18,Licensed,-113.9549615191431,50.869060908609384,POINT (-113.9549615191431 50.869060908609384)
BL274043,16403206,447 DOUGLAS WOODS DR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-14T21:26:07,2024-10-13T21:26:07,Expired - Pending Recommendation,-113.98878793986262,50.940854425377445,POINT (-113.98878793986262 50.940854425377445)
BL270902,16359689,101 CRESTBROOK VW SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-08T20:28:24,2024-07-07T20:28:24,Rejected,-114.27379708975143,51.08212869420991,POINT (-114.27379708975143 51.08212869420991)
BL259965,16206344,38 COUNTRY HILLS MR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-18T17:10:38,2024-09-17T17:10:38,Closed,-114.07514465112718,51.146754817323774,POINT (-114.07514465112718 51.146754817323774)
BL280263,16487357,731B CREEKSIDE BV SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-08-02T15:04:45,2025-08-02T15:04:45,Licensed,-114.06729055203617,50.85910689564485,POINT (-114.06729055203617 50.85910689564485)
BL281176,16497802,#1505 1010 6 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-09-20T14:36:50,2025-09-20T14:36:50,Licensed,-114.07607592645883,51.043451192226385,POINT (-114.07607592645883 51.043451192226385)
BL276823,16444176,70B CRESTHAVEN WY SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-01-24T16:44:49,2025-01-23T16:44:49,Licensed,-114.26425735661496,51.08382518348374,POINT (-114.26425735661496 51.08382518348374)
BL276135,16435596,129 CORNER MEADOWS GD NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-12-22T09:36:30,2024-12-21T09:36:30,Licensed,-113.92439744382037,51.150272897778976,POINT (-113.92439744382037 51.150272897778976)
BL279076,16473035,#6 1730 11 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-03-27T16:18:42,2025-03-27T16:18:42,Licensed,-114.0896486354113,51.03670571740018,POINT (-114.0896486354113 51.03670571740018)
BL275013,16416208,100 EVANSGLEN CL NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-11-12T18:43:49,2024-11-11T18:43:49,Expired,-114.10382723287141,51.178630948560034,POINT (-114.10382723287141 51.178630948560034)
BL271977,16376600,112 EDGEWOOD DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-14T23:22:22,2024-08-13T23:22:22,Expired,-114.1525110913766,51.12416282096374,POINT (-114.1525110913766 51.12416282096374)
BL274291,16406662,213 WOLF WILLOW BV SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-22T13:56:18,2024-10-21T13:56:18,Closed,-114.004141355146,50.874807535822114,POINT (-114.004141355146 50.874807535822114)
BL270895,16359614,26 SIMCOE PL SW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-07-08T12:16:51,2024-07-07T12:16:51,Closed,-114.18348015423332,51.0361609624132,POINT (-114.18348015423332 51.0361609624132)
BL272686,16384968,147R LUCAS TC NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-05T11:47:35,2024-09-04T11:47:35,Expired,-114.08104059567239,51.188130746588,POINT (-114.08104059567239 51.188130746588)
BL262930,16264137,2232 37 ST SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-12-26T13:42:55,2024-12-25T13:42:55,Licensed,-114.140810216184,51.03360230960236,POINT (-114.140810216184 51.03360230960236)
BL273421,16394785,266 CARRINGVUE WY NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-09-26T11:28:22,2024-09-25T11:28:22,Expired,-114.07881412355675,51.18233788510357,POINT (-114.07881412355675 51.18233788510357)
BL235238,15918105,1035 16 ST NE,SHORT TERM RENTAL - TIER TWO,Single/detached house,2023-07-09T16:06:31,2024-07-08T16:06:31,Expired,-114.02217236167509,51.06189868550176,POINT (-114.02217236167509 51.06189868550176)
BL238221,15952971,#1109 1320 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-16T12:59:40,2024-10-15T12:59:40,Closed,-114.06023859063501,51.03992964490971,POINT (-114.06023859063501 51.03992964490971)
BL275272,16419145,449 MARSH RD NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-11-20T16:48:34,2024-11-19T16:48:34,Expired,-114.0526568511483,51.05268003563658,POINT (-114.0526568511483 51.05268003563658)
BL257587,16182826,2724 17 ST SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-07-05T17:52:15,2024-07-04T17:52:15,Closed,-114.0188212647342,51.029607330262415,POINT (-114.0188212647342 51.029607330262415)
BL285006,16545030,68B CALHOUN CM NE,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-10-17T13:11:23,2025-10-17T13:11:23,Licensed,-114.05190716403021,51.18593039368515,POINT (-114.05190716403021 51.18593039368515)
BL274319,16407199,84R SETON VI SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-23T14:42:18,2024-10-22T14:42:18,Expired,-113.9463057656311,50.86602374942979,POINT (-113.9463057656311 50.86602374942979)
BL270402,16352569,1448 REMINGTON RD NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-06-26T13:29:29,2024-06-25T13:29:29,Closed,-114.03802478568502,51.065170640800645,POINT (-114.03802478568502 51.065170640800645)
BL265514,16293870,10B WALGROVE PS SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-02-16T22:47:33,2025-02-15T22:47:33,Licensed,-114.01522315527968,50.86674685477064,POINT (-114.01522315527968 50.86674685477064)
BL275618,16424145,816R ROYAL CO NW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2023-12-05T14:48:12,2024-12-04T14:48:12,Closed,-114.22314458194052,51.137792872586665,POINT (-114.22314458194052 51.137792872586665)
BL279283,16475550,131B CASTLEBROOK DR NE,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-05-21T11:39:23,2025-05-21T11:39:23,Licensed,-113.96301845842952,51.10490264283814,POINT (-113.96301845842952 51.10490264283814)
BL278429,16464430,2018 28 ST SW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-03-21T11:56:44,2025-03-21T11:56:44,Closed,-114.1277985287629,51.035621096441545,POINT (-114.1277985287629 51.035621096441545)
BL250788,16112666,142 MAUNSELL CL NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-12-08T08:21:37,2024-12-07T08:21:37,Licensed,-114.0026724541558,51.05858279099474,POINT (-114.0026724541558 51.05858279099474)
BL283210,16522500,#1703 1010 6 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-09-26T10:01:40,2025-09-26T10:01:40,Licensed,-114.07623195904016,51.043397277996604,POINT (-114.07623195904016 51.043397277996604)
BL271393,16367088,#3312 240 SKYVIEW RANCH RD NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-07-25T10:50:58,2024-07-24T10:50:58,Expired,-113.95663842765065,51.163926454841054,POINT (-113.95663842765065 51.163926454841054)
BL283771,16529489,#206 201 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-10-24T14:17:50,2025-10-24T14:17:50,Licensed,-114.0604186680905,51.05092413926395,POINT (-114.0604186680905 51.05092413926395)
BL270455,16353302,#3414 215 LEGACY BV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-06-27T13:12:17,2024-06-26T13:12:17,Closed,-114.02260000806312,50.85998429707359,POINT (-114.02260000806312 50.85998429707359)
BL250041,16104481,#114 19500 37 ST SE,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-11-12T09:48:39,2024-11-11T09:48:39,Expired,-113.95446533872301,50.87813322481719,POINT (-113.95446533872301 50.87813322481719)
BL277510,16452724,10 COUNTRY HILLS HT NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-10-17T12:35:28,2025-10-17T12:35:28,Licensed,-114.0733693903245,51.1457162726975,POINT (-114.0733693903245 51.1457162726975)
BL277862,16457715,152 SHAWBROOKE MR SW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-03-07T15:53:34,2025-03-07T15:53:34,Licensed,-114.09687099929432,50.90803578911085,POINT (-114.09687099929432 50.90803578911085)
BL275170,16418006,1719 25 AV SW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-11-16T16:18:51,2024-11-15T16:18:51,Expired,-114.10058314259771,51.03123461775513,POINT (-114.10058314259771 51.03123461775513)
BL277192,16448656,417 NOLAN HILL BV NW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-02-21T10:51:34,2025-02-20T10:51:34,Licensed,-114.16897044626413,51.1728816430594,POINT (-114.16897044626413 51.1728816430594)
